#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
Gl 581  |15 16 50|-07 32.4| 1.224|256.3|  -9.4|dM5         | 10.56| 1.60| 157.9| 157.9|11.55|V159 |                                                                     |15 19 26.6|-07 43 29
Gl 582  |15 18 25|-48 08.1| 1.648|260.4| -69.4|G2 V        |  5.65| 0.65|  63.1|  63.1| 4.65|     |NU(2) Lup                                                            |15 21 48.0|-48 19 04
NN 3901 |15 18 39|-47 44.8| 0.197|225.5| -11.2|F8 V        |  5.00| 0.50|  29.9|  29.9| 2.38|     |LTT 6126                                                             |15 22 08.7|-47 55 38
NN 3902 |15 18 53|+68 01.8| 0.611|310.2|      |m           | 13.44|     |      |  45.0|11.71|     |LP 68-73                                                             |15 19 16.8|+67 51 21
Gl 582.1|15 19 08|-47 44.4| 0.453|235.3| -22.1|G5 V J      |  8.29| 0.70|  56.1|  56.1| 7.00|     |V(AB) = 7.68 d(m) = 0.3                                              |15 22 36.6|-47 55 18
Gl 582.1|15 19 08|-47 44.4| 0.453|235.3|      |            |  8.60|     |  56.1|  56.1| 7.30|     |sep 1.4" 217d - 0.7" 77d (1895-1960)                                 |15 22 36.6|-47 55 18
GJ 2112 |15 19 11|-27 39.5| 0.745| 35.4|      |M3 :        | 13.28| 1.70|      |  60.0|12.20|     |LTT 6133 LP 915-27 L 623-94                                          |15 22 13.4|-27 49 41
Gl 583  |15 19 27|-04 35.9| 0.298|271.5| -17.8|K7 V        |  9.47| 1.33|  60.2|  54.0| 8.13|V058 |                                                                     |15 22 04.0|-04 46 35
Wo 9520 |15 19 38|+21 09.3| 0.145| 34.7|      |dM0  e      | 10.11| 1.51|  91.6|  91.6| 9.92|V740 |BPM 90688                                                            |15 21 52.3|+20 58 43
GJ 1191 |15 19 54|-10 28.8| 0.209|195.1|  -5.3|K2 V        |  7.99| 0.95|      |  50.0| 6.48|U372 |LTT 6139                                                             |15 22 37.2|-10 39 38
GJ 1192 |15 20 11|+01 36.1| 0.519|224.6| -26.1|K3 V        |  8.30| 1.00|  43.5|  42.0| 6.42|U373 |                                                                     |15 22 42.2|+01 25 08
Gl 584  |15 21 08|+30 28.0| 0.238|144.1|  -7.3|G2 V        |  5.62| 0.58|  59.6|  59.6| 4.50|     |ETA Crb ADS 9617  V(AB) = 5.02 d(m) = 0.34                           |15 23 12.1|+30 17 14
Gl 584  |15 21 08|+30 28.0| 0.238|144.1| -10.6|G2 V        |  5.96|     |  59.6|  59.6| 4.84|     |a = 0.907" P = 41.623 yr                                             |15 23 12.1|+30 17 14
Gl 585  |15 21 35|+17 39.6| 1.302|196.8|  84.0|M4          | 13.68| 1.78|  85.1|  85.1|13.33|     |Ross 508                                                             |15 23 51.1|+17 27 59
NN 3903 |15 22 36|+37 33.1| 0.171|299.4|  -8.6|F0 V        |  4.31| 0.31|  39.5|  42.0| 2.43|     |BS 5733 ADS 9626                                                     |15 24 29.4|+37 22 38
NN 3904 |15 22 36|+37 33.4| 0.170|299.0|  -8.6|G1 V        |  6.50| 0.59|  39.5|  42.0| 4.62|     |BS 5734   sep 108.9" d(m) = 2.2                                      |15 24 29.4|+37 22 56
NN 3905 |15 23 02|-26 31.9| 0.811|269.6| -48.0|K3/4 V      |  8.84| 1.05|  12.7|  42.0| 6.96|U377 |LTT 6168                                                             |15 25 58.8|-26 42 23
Gl 585.1|15 25 12|+02 46.3| 0.050|259.0|      |dM0         | 10.21| 1.34|      |  40.0| 8.22|V742 |                                                                     |15 27 43.2|+02 35 55
NN 3906 |15 25 15|+10 46.3| 0.454|238.0|      |K5          |  9.86| 1.30|      |  44.0| 8.08|     |LTT 14593                                                            |15 27 37.6|+10 35 44
Gl 586  |15 25 27|-09 10.2| 0.365|168.5|   8.2|K2 V        |  6.92| 0.81|  61.8|  61.8| 5.87|U379 |LTT 6180                                                             |15 28 09.6|-09 20 51
Gl 586  |15 25 30|-09 10.8| 0.379|165.5|   8.0|K2 V        |  7.58| 0.92|  61.8|  61.8| 6.53|U380 |LTT 6181                                                             |15 28 12.7|-09 21 27
Gl 586  |15 25 03|-08 51.0| 0.318|172.0|      |k-m         | 15.41| 1.84|  48.0|  48.0|13.82|     |                                                                     |15 27 45.2|-09 01 38
Gl 587  |15 25 44|-49 46.8| 0.238|246.8| -42.7|G5 V        |  7.69| 0.77|  56.0|  40.0| 5.70|     |                                                                     |15 29 19.0|-49 57 11
Gl 587.1|15 25 53|+25 57.8| 0.120|121.0|      |dM0         | 11.12| 1.46|      |  42.0| 9.24|V744 |AC+26:37030                                                          |15 28 01.7|+25 47 25
NN 3907 |15 27 58|+43 03.5| 0.698|146.4|      |m           | 14.17| 1.73|  51.1|  51.1|12.71|     |double?? phot. cat.                                                  |15 29 44.4|+42 52 47
NN 3908 |15 28 39|-26 44.8| 0.575|219.8|      |M3.5        | 13.70|     |      |  43.0|11.90|     |LTT 6205 L 624-20 LP 860-50                                          |15 31 38.2|-26 55 20
Gl 588  |15 28 58|-41 05.6| 1.539|228.5|  15.4|M3          |  9.31| 1.52| 165.1| 165.1|10.40|     |CP -40:7021 LTT 6210   comp. B is optical                            |15 32 13.2|-41 16 35
NN 3909 |15 29 19|+14 25.7| 0.033|200.6|      |G5          |  7.70|     |      |  88.0| 7.42|     |                                                                     |15 31 39.2|+14 15 32
NN 3910 |15 29 52|+29 01.2| 0.579|274.7|      |m           | 14.30|     |      |  62.0|13.26|     |                                                                     |15 31 54.2|+28 51 08
NN 3911 |15 32 02|+46 24.9| 0.199|  5.0|      |m           | 13.58|     |      |  51.0|12.12|     |LP 176-55                                                            |15 33 39.8|+46 15 04
Gl 588.1|15 32 03|+38 04.9| 0.080|166.0|      |dM0         | 11.28| 1.50|      |  40.0| 9.29|V746 |AC+38:34548                                                          |15 33 55.1|+37 54 51
GJ 1193 |15 32 13|+14 26.3| 0.697|257.7|      |M3.5        | 13.83| 1.57|  48.4|  48.4|12.25|     |Ross 512                                                             |15 34 30.7|+14 16 12
NN 3912 |15 32 43|-14 37.5| 0.062| 86.2| -28.2|G8.5 III    |  3.90| 1.00|  39.5|  39.5| 1.90|     |                                                                     |15 35 31.1|-14 47 25
Gl 589  |15 33 08|+17 52.9| 1.219|263.0| -43.2|M4.5:       | 12.41| 1.58|  70.2|  70.2|11.64|     |AC+18:1890-112                                                       |15 35 20.3|+17 42 51
Gl 589  |15 33 08|+17 52.9| 1.219|263.0|      |M6          | 14.99| 1.81|  70.2|  70.2|14.22|     |L 1272-021                                                           |15 35 20.3|+17 42 51
Gl 590  |15 33 21|-37 43.4| 0.892|201.7|      |M4          | 12.80| 1.60|  81.6|  81.6|12.40|     |L 480-069                                                            |15 36 35.2|-37 53 58
NN 3913 |15 33 37|+22 19.1| 0.743|260.7|      |k-m         | 12.69| 1.51|  53.2|  53.2|11.32|     |LTT 14636 L 1344-37 LP 384-18                                        |15 35 46.1|+22 09 06
Gl 591  |15 34 10|+39 59.7| 0.458|276.9| -65.6|K3 V        |  7.60| 0.96|  47.0|  47.0| 5.96|     |ADS 9716C                                                            |15 35 56.7|+39 49 53
Gl 592  |15 34 13|-13 57.5| 0.774|216.2|      |M4          | 12.70| 1.58|  76.4|  76.4|12.12|     |Ross 802                                                             |15 36 58.7|-14 07 52
Gl 593  |15 34 15|+39 58.0| 0.465|277.3| -67.7|K2 V        |  7.43| 0.91|  47.0|  47.0| 5.79|     |ADS 9716A  V(AB) = 6.77 d(m) = 0.21                                  |15 36 01.7|+39 48 11
Gl 593  |15 34 15|+39 58.0| 0.465|277.3|      |            |  7.60|     |  47.0|  47.0| 6.00|     |ADS 9716B  a = 0.785" P = 55.88 yr                                   |15 36 01.7|+39 48 11
Gl 594  |15 37 45|-44 29.8| 0.317|212.7|  -5.4|F5 IV-V     |  4.64| 0.40|  58.3|  58.3| 3.47|     |                                                                     |15 41 11.8|-44 39 38
GJ 1194 |15 38 16|+43 39.5| 1.225|106.3|-108.0|m           | 12.48| 1.57|  73.3|  73.3|11.81|     |V(AB) = 12.20 d(m) = 1.35:                                           |15 40 03.3|+43 29 35
GJ 1194 |15 38 17|+43 39.4| 1.225|106.3|      |m           | 13.80|     |  73.3|  73.3|13.10|     |sep 5" 146d (LHS)                                                    |15 40 04.3|+43 29 29
Gl 595  |15 39 20|-19 18.6| 2.254|243.2|  83.0|M3.5        | 11.87| 1.60| 111.0| 111.0|12.10|     |L 768-119                                                            |15 42 06.0|-19 28 59
NN 3914 |15 40 15|-30 46.1| 0.504|226.5|      |m           | 13.10|     |      |  40.0|11.10|     |LTT 6278 L 552-4 LP 916-51                                           |15 43 20.2|-30 55 52
GJ 1195 |15 40 22|-10 46.3| 1.166|254.9|-171.4|F3 VI       |  7.22| 0.49|  39.4|  39.4| 5.20|     |CVS 101522                                                           |15 43 02.5|-10 56 02
Gl 596  |15 40 55|+26 26.2| 0.166|128.6|      |K7          | 10.70| 1.29|  56.1|  30.0| 8.10|     |Steph 21187                                                          |15 43 02.0|+26 16 39
Gl 596  |15 40 57|+26 25.5| 0.186|125.0|      |m           | 13.50|     |  56.1|  30.0|10.90|     |LP 384-43  sep 45" 148d (NLTT)                                       |15 43 04.1|+26 15 57
Gl 596.1|15 41 31|+02 40.4| 0.163|200.4|  19.4|G5 V        |  5.86| 0.68|  50.6|  50.6| 4.38|     |PSI Ser ADS 9763                                                     |15 44 02.1|+02 30 52
Gl 596.1|15 41 31|+02 40.4| 0.163|200.4|      |            | 12.00|     |  50.6|  50.6|10.50|     |sep 4"                                                               |15 44 02.1|+02 30 52
Gl 596.2|15 41 48|+06 34.9| 0.142| 72.0|   2.7|K2 III      |  2.64| 1.17|  49.7|  49.7| 1.12|     |ALF Ser                                                              |15 44 15.9|+06 25 32
Gl 597  |15 42 15|+76 09.6| 1.141|133.8| -46.1|M3          | 12.22| 1.65|  75.2|  75.2|11.60|     |AC+76:5308                                                           |15 41 18.4|+75 59 29
Gl 598  |15 44 01|+07 30.5| 0.241|250.9| -68.5|G0 V        |  4.43| 0.60|  83.9|  83.9| 4.05|     |LAM Ser                                                              |15 46 26.8|+07 21 10
NN 3915 |15 44 01|-58 01.6| 0.594|245.1|      |M2-3        | 11.65|     |  30.5|  45.0| 9.92|     |LTT 6300 L 201-97                                                    |15 48 00.9|-58 11 02
Gl 599  |15 44 14|-37 45.6| 0.468|241.9|  -5.2|G6 V        |  6.01| 0.72|  73.5|  73.5| 5.34|     |                                                                     |15 47 29.3|-37 55 01
Gl 599  |15 44 14|-37 45.6| 0.468|241.9|   1.0|DA7         | 12.78| 0.33|  73.5|  73.5|12.11|W114 |                                                                     |15 47 29.3|-37 55 01
NN 3916 |15 44 42|-10 44.3| 0.505|228.8|      |M2          | 11.25|     |      |  79.0|10.74|     |LTT 6305 L 841-9 LP 743-31                                           |15 47 25.1|-10 53 48
NN 3917 |15 45 38|+01 43.6| 0.240|227.5| -28.4|G8 V        |  7.43| 0.81|  33.6|  46.0| 5.74|     |LTT 14685                                                            |15 48 09.6|+01 34 18
Gl 599.1|15 47 22|-50 32.2| 0.260|102.0|  47.9|k           | 10.72| 1.19|  50.0|  23.0| 7.53|     |                                                                     |15 51 05.6|-50 41 16
NN 3918 |15 47 38|+01 06.6| 0.180| 96.0|      |m           | 12.45|     |      |  56.0|11.19|     |LTT 14694 Wolf 587                                                   |15 50 11.4|+00 57 33
NN 3919 |15 47 46|+34 57.5| 0.937|317.4|      |m           | 13.16| 1.64|  56.6|  56.6|11.92|     |LTT 14695 L 1489-5 LP 274-8                                          |15 49 38.1|+34 49 01
NN 3920 |15 48 14|+51 11.7| 0.472|306.0|      |M3:         | 12.05| 1.53|      |  48.0|10.46|     |                                                                     |15 49 36.1|+51 02 54
NN 3921 |15 48 19|+04 37.6| 0.140| 64.6|  -9.1|A2 m        |  3.71| 0.15|  38.4|  38.4| 1.63|     |                                                                     |15 50 48.7|+04 28 39
NN 3922 |15 48 57|+74 34.2| 0.318|162.6| -27.0|K5          |  9.31| 1.18|  34.2|  46.0| 7.62|     |LTT 14698                                                            |15 48 09.8|+74 24 53
NN 3923 |15 49 21|+29 40.4| 0.501|206.4|      |M7          | 13.01| 1.58|      |  58.0|11.83|     |                                                                     |15 51 21.9|+29 31 05
Gl 600  |15 49 46|+11 01.6| 0.358|228.4|  -0.7|dM0         |  9.36| 1.42|  47.4|  47.4| 7.74|V318 |                                                                     |15 52 07.9|+10 52 29
Gl 601  |15 50 43|-63 16.7| 0.440|205.0|   0.4|F2 IV       |  2.84| 0.29|  82.1|  82.1| 2.41|     |BET Tra  cpm with LTT 6333 = L 153-157 ?                             |15 55 08.6|-63 25 50
NN 3924 |15 50 52|+13 21.1| 0.584|195.3|  35.1|G1 V        |  6.10| 0.60|  41.7|  53.0| 4.72|     |LTT 14713                                                            |15 53 11.9|+13 11 47
Gl 602  |15 50 57|+42 35.4| 0.765| 35.0| -56.4|F9 V        |  4.61| 0.57|  57.5|  57.5| 3.41|     |CHI Her                                                              |15 52 40.8|+42 27 04
NN 3925 |15 51 11|+34 54.5| 0.569|151.7|      |M3          | 11.75| 1.51|  53.4|  48.7|10.19|     |LTT 14715 LFT 1231 Ross 806                                          |15 53 06.5|+34 45 15
NN 3926 |15 51 11|+34 54.0| 0.569|151.7|      |m           | 13.18| 1.53|  40.4|  48.7|11.62|     |LTT 14716 LFT 1232 L 1489-3 LP 274-21   sep 26" 174d                 |15 53 06.5|+34 44 45
GJ 1196 |15 51 38|-25 51.6| 0.250|295.4|      |K5 V        |  9.28| 1.24|      |  47.0| 7.64|U386 |LTT 6348                                                             |15 54 38.6|-26 00 18
NN 3927 |15 53 08|+34 00.0| 0.643|139.0|      |m           | 15.95| 1.76|  42.1|  42.1|14.07|     |LP 274-24 USNO 746                                                   |15 55 05.2|+33 50 53
NN 3928 |15 53 39|+35 20.6| 0.261|307.0|      |m           | 13.68|     |      |  92.0|13.50|     |                                                                     |15 55 31.6|+35 12 03
Wo 9531 |15 53 58|+38 05.4| 0.084| 18.9| -11.6|F0 IV       |  5.45| 0.33|  43.2|  43.2| 3.63|     |                                                                     |15 55 47.3|+37 56 48
Gl 603  |15 54 08|+15 49.4| 1.322|166.6|   6.6|F6 V        |  3.85| 0.48|  84.1|  84.1| 3.47|     |GAM Ser                                                              |15 56 26.7|+15 39 41
Gl 604  |15 54 16|-42 28.7| 0.323|233.3|  35.6|K5 V        |  8.05| 1.12|  58.9|  58.9| 6.90|     |                                                                     |15 57 41.2|-42 37 28
Wo 9532 |15 55 44|+63 57.4| 0.220|326.9|  -0.6|G5          |  9.54| 0.89|  44.2|  21.0| 6.15|     |LTT 14744                                                            |15 56 20.1|+63 48 57
NN 3929 |15 56 27|+35 32.7| 0.353|333.0|      |M6  :       | 12.69| 1.59|      |  61.0|11.62|     |                                                                     |15 58 19.2|+35 24 27
Wo 9533 |15 56 32|+27 52.7| 0.828|291.5| -69.8|K0 V        |  8.01| 0.77|  44.4|  44.4| 6.25|     |LFT 1237                                                             |15 58 32.6|+27 44 27
NN 3930 |15 56 38|+25 42.8| 0.136|215.2|  -4.5|K2 V        |  8.33| 1.00|      |  44.0| 6.55|     |                                                                     |15 58 43.9|+25 34 13
Gl 604.1|15 56 52|-45 18.6| 0.203|228.8| -23.6|G5 IV       |  7.54| 0.74|  44.2|  44.2| 5.80|     |                                                                     |16 00 23.5|-45 27 09
Wo 9535 |15 57 11|+65 32.4| 0.238|136.2|  -8.0|dG5         |  9.04| 0.86|  42.3|  26.0| 6.11|     |LTT 14752                                                            |15 57 40.2|+65 23 45
Gl 606  |15 57 11|-08 06.8| 0.194|104.7|      |dM0         | 10.50| 1.51|  98.1|  98.1|10.46|V753 |                                                                     |15 59 53.7|-08 15 17
NN 3931 |15 57 31|-16 23.3| 0.747|238.0| -25.0|F8 V        |  5.47| 0.52|  33.2|  33.2| 3.08|     |LTT 6378                                                             |16 00 19.6|-16 32 03
NN 3932 |15 57 34|+15 08.9| 0.846|209.5|      |m           | 13.99| 1.58|  40.0|  40.0|12.00|     |                                                                     |15 59 50.8|+14 59 51
Gl 606.1|15 58 21|-84 05.8| 0.320|269.0| -10.5|K0 V        |  7.68| 0.78|  49.0|  39.0| 5.64|     |V(AB) = 7.66 d(m) = 3.35                                             |16 10 16.6|-84 13 54
Gl 606.1|15 58 21|-84 05.8| 0.320|269.0|      |k-m         | 11.03| 1.36|  49.0|  39.0| 8.99|     |L 20-30  sep 22" 29d (NLTT)                                          |16 10 16.6|-84 13 54
NN 3933 |15 59 08|+40 28.3| 0.394|227.0|      |m           | 13.12|     |      |  47.0|11.48|     |                                                                     |16 00 51.3|+40 19 44
Gl 606.2|15 59 08|+33 27.2| 0.798|194.8|  18.4|G0 V        |  5.41| 0.60|  40.2|  60.0| 4.30|     |RHO Crb                                                              |16 01 02.9|+33 18 13
NN 3934 |15 59 24|-24 57.2| 0.650|200.8|      |m           | 13.20|     |      |  49.0|11.70|     |LP 861-12                                                            |16 02 24.0|-25 06 00
Gl 607  |15 59 45|+30 19.0| 0.351|293.0|  10.1|M3          | 12.51| 1.56|  61.2|  61.2|11.44|     |AC+30:35150                                                          |16 01 43.7|+30 10 49
Gl 608  |15 59 53|+61 48.0| 0.462|274.6| -36.5|dM0         |  9.99| 1.29|  42.5|  42.5| 8.13|V875 |                                                                     |16 00 35.9|+61 39 42
NN 3935 |15 59 54|+30 35.8| 0.189|316.0|      |m           | 13.37|     |      |  45.0|11.64|     |LP 329-20                                                            |16 01 53.1|+30 27 37
NN 3936 |15 59 46|+30 35.9| 0.189|316.0|      |m           | 15.17|     |      |  45.0|13.44|     |LP 329-19    sep 112" 273d                                           |16 01 45.1|+30 27 43
Gl 609  |16 00 43|+20 44.6| 1.571|217.6|  25.0|M3          | 12.56| 1.63|  99.4|  99.4|12.55|     |L 1346-53                                                            |16 02 51.5|+20 35 20
Gl 609.1|16 00 57|+58 41.9| 0.467|316.0|  -7.7|F8 IV-V     |  4.01| 0.52|  48.7|  48.7| 2.45|     |THE Dra                                                              |16 01 53.5|+58 33 55
Wo 9540 |16 01 37|-11 14.2| 0.072|241.7| -32.2|F6 IV-V     |  4.84| 0.45|  41.1|  41.1| 2.91|     |BS 5978 ADS 9909  V(AB) = 4.16 d(m) = 0.16                           |16 04 22.2|-11 22 23
Wo 9540 |16 01 37|-11 14.2| 0.072|241.7|      |F6 IV-V     |  5.00|     |  41.1|  41.1| 3.10|     |BS 5977  a = 0.720"  P = 45.69 yr                                    |16 04 22.2|-11 22 23
Wo 9540 |16 01 37|-11 14.1| 0.070|254.3| -31.3|G8 V        |  7.30| 0.75|  41.1|  41.1| 5.37|     |sep (AC) 7.6" 53d (1959)                                             |16 04 22.2|-11 22 17
NN 3937 |16 01 40|-06 07.9| 0.854|184.0|      |dM4.5-5     | 15.51| 1.89|  60.4|  60.4|14.42|     |LP 684-17                                                            |16 04 19.9|-06 16 46
Wo 9541 |16 01 41|-11 18.8| 0.075|248.0| -31.5|G8 V        |  7.46| 0.74|  43.0|  43.0| 5.63|U391 |                                                                     |16 04 26.3|-11 26 59
Wo 9541 |16 01 41|-11 18.8| 0.070|248.1| -28.1|K2 V        |  8.03| 0.84|  43.0|  43.0| 6.20|U392 |                                                                     |16 04 26.3|-11 26 59
Gl 609.2|16 01 59|+25 22.9| 0.867|322.2| -48.2|G8 V        |  7.10| 0.77|  54.6|  54.6| 5.79|     |                                                                     |16 04 03.2|+25 15 19
